RangeOfMotion,MotionSpeed,PostureDuration,Smoothness,JerkRMS,MeanVelocity,MaxVelocity,State,LDH_Probability,Risk
20.07,78.90,0.00,0.25,3341.29,-3.16,299.39,BENDING,99.76,HIGH RISK
18.14,79.26,0.00,0.27,2781.34,1.70,241.69,BENDING,99.83,HIGH RISK
15.12,74.00,0.00,0.25,2854.41,2.62,239.49,BENDING,99.88,HIGH RISK
17.54,93.43,0.00,0.29,3290.30,-1.23,258.85,BENDING,99.92,HIGH RISK
26.07,70.38,0.00,0.31,2683.92,0.08,240.11,BENDING,99.94,HIGH RISK
22.52,72.02,0.00,0.26,2785.76,-0.39,235.58,BENDING,99.96,HIGH RISK
17.66,101.51,0.00,0.28,3941.44,4.74,282.22,BENDING,99.97,HIGH RISK
23.61,56.63,0.00,0.42,3233.60,-2.28,250.56,BENDING,99.98,HIGH RISK
19.81,82.51,0.00,0.31,3295.84,-0.12,276.68,BENDING,99.99,HIGH RISK
15.25,93.50,0.00,0.32,3380.61,3.74,234.24,BENDING,99.99,HIGH RISK
15.11,94.79,0.00,0.31,3383.93,-3.97,252.71,BENDING,99.99,HIGH RISK
19.75,39.08,0.00,0.44,2740.30,-3.46,252.71,BENDING,100.00,HIGH RISK
5.01,3.43,0.00,3.09,871.84,-2.52,33.55,BENDING,70.00,HIGH RISK
2.00,3.36,0.00,2.67,943.56,-1.00,20.00,BENDING,49.00,HIGH RISK
1.79,4.27,0.00,2.07,966.17,-0.81,20.00,BENDING,34.30,MEDIUM RISK
0.68,0.93,0.00,4.35,314.23,-0.34,18.72,BENDING,24.01,MEDIUM RISK
1.00,2.94,0.00,2.16,846.11,-0.50,20.00,BENDING,16.81,LOW RISK
2.20,6.99,0.00,0.88,1688.92,-1.11,40.00,BENDING,19.26,LOW RISK
0.95,0.79,0.04,3.58,312.79,-0.24,20.00,STRAIGHT,13.49,LOW RISK
2.21,8.69,1.00,0.83,1529.13,-0.95,26.34,STRAIGHT,9.44,LOW RISK
0.80,2.74,1.00,1.50,816.91,-0.38,19.99,STRAIGHT,6.61,LOW RISK
0.20,0.10,1.00,17.36,9.48,-0.10,4.00,STRAIGHT,4.63,LOW RISK
0.40,0.50,1.00,3.70,314.41,-0.10,20.00,STRAIGHT,3.24,LOW RISK
1.00,5.45,1.00,0.96,1186.50,-0.35,20.00,STRAIGHT,2.27,LOW RISK
0.63,2.20,1.00,1.48,627.26,-0.23,20.00,STRAIGHT,1.59,LOW RISK
0.20,0.10,1.00,15.19,9.48,-0.10,4.00,STRAIGHT,1.11,LOW RISK
0.20,0.10,1.00,15.19,9.48,-0.10,4.00,STRAIGHT,0.78,LOW RISK
0.40,0.30,1.00,4.48,222.42,-0.10,20.00,STRAIGHT,0.54,LOW RISK
1.04,3.13,1.00,1.17,828.74,-0.44,20.03,STRAIGHT,0.38,LOW RISK
0.66,6.80,1.00,0.72,1195.00,-0.17,19.72,STRAIGHT,0.27,LOW RISK
0.42,1.27,1.00,1.68,496.48,-0.15,20.00,STRAIGHT,0.19,LOW RISK
0.20,0.30,1.00,3.86,222.43,-0.10,19.93,STRAIGHT,0.13,LOW RISK
9.47,39.49,1.00,0.19,1799.43,1.50,111.13,STRAIGHT,0.09,LOW RISK
9.97,58.49,0.05,0.22,2248.30,1.57,129.84,BENDING,30.06,MEDIUM RISK
8.10,39.68,0.00,0.21,1831.53,-2.21,107.06,BENDING,51.04,HIGH RISK
10.17,48.76,0.77,0.18,1966.28,3.75,127.80,BENDING,65.73,HIGH RISK
9.44,52.19,0.00,0.21,1908.19,-1.01,121.49,BENDING,76.01,HIGH RISK
9.77,55.77,0.00,0.20,2122.55,-2.09,117.22,BENDING,83.21,HIGH RISK
8.12,44.75,0.00,0.22,1708.78,-0.70,97.62,BENDING,88.25,HIGH RISK
7.92,43.68,0.00,0.20,1802.91,-1.73,102.61,BENDING,84.27,HIGH RISK
8.21,8.03,0.98,0.25,960.38,2.30,127.09,STRAIGHT,58.99,HIGH RISK
10.63,51.65,0.85,0.18,1963.55,2.20,134.36,BENDING,71.29,HIGH RISK
9.71,40.46,0.00,0.21,1688.10,-1.99,103.91,BENDING,79.91,HIGH RISK
10.34,58.03,0.00,0.18,2120.90,-1.21,131.05,BENDING,85.93,HIGH RISK
9.22,49.73,0.00,0.20,1990.94,-1.22,115.38,BENDING,90.15,HIGH RISK
2.51,3.24,0.74,1.11,767.62,-1.26,22.66,STRAIGHT,63.11,HIGH RISK
22.60,47.47,0.82,0.17,2846.17,4.79,234.57,BENDING,74.18,HIGH RISK
6.80,12.01,0.00,0.67,1257.71,-3.42,47.57,BENDING,59.42,HIGH RISK
11.53,24.40,0.31,0.29,1606.36,0.34,129.18,BENDING,71.60,HIGH RISK
20.33,45.73,0.00,0.38,1633.78,4.01,100.54,BENDING,80.12,HIGH RISK
8.62,39.33,0.00,0.34,1429.06,0.27,105.78,BENDING,86.08,HIGH RISK
10.70,8.90,0.00,0.86,1223.27,-5.32,57.48,BENDING,75.26,HIGH RISK
1.63,0.89,0.91,2.56,270.97,-0.82,20.01,STRAIGHT,52.68,HIGH RISK
1.20,2.39,1.00,1.19,663.93,-0.06,20.00,STRAIGHT,36.88,MEDIUM RISK
3.21,3.65,1.00,1.01,796.90,-0.96,24.21,STRAIGHT,25.81,MEDIUM RISK
20.91,29.01,0.88,0.30,1236.35,4.74,98.05,BENDING,48.07,HIGH RISK
17.42,31.98,0.00,0.44,1595.70,1.16,87.39,BENDING,63.65,HIGH RISK
18.04,36.91,0.00,0.38,1426.40,0.62,92.37,BENDING,74.55,HIGH RISK
14.67,35.21,0.00,0.45,1367.32,-1.91,93.85,BENDING,82.19,HIGH RISK
15.68,32.23,0.00,0.46,1375.28,-0.70,93.50,BENDING,87.53,HIGH RISK
16.68,40.09,0.00,0.46,1378.48,7.40,90.74,BENDING,91.27,HIGH RISK
16.98,35.98,0.00,0.50,1365.15,-3.29,92.01,BENDING,93.89,HIGH RISK
15.35,38.43,0.00,0.42,1306.31,0.51,98.34,BENDING,95.72,HIGH RISK
16.77,35.56,0.00,0.48,1366.62,-0.11,97.34,BENDING,97.01,HIGH RISK
9.35,10.10,0.00,1.17,1124.16,-4.70,57.76,BENDING,75.40,HIGH RISK
9.53,14.92,0.00,0.67,1080.11,-1.57,68.52,BENDING,60.28,HIGH RISK
4.66,5.35,0.00,0.92,930.34,0.97,92.25,BENDING,42.20,HIGH RISK
4.20,3.51,0.20,1.24,937.59,-2.11,42.56,STRAIGHT,29.54,MEDIUM RISK
1.37,2.40,1.00,1.39,753.23,-0.51,20.00,STRAIGHT,20.68,LOW RISK
1.92,2.77,1.00,1.14,681.44,-0.50,20.00,STRAIGHT,14.47,LOW RISK
1.91,3.69,1.00,0.92,717.45,0.00,20.03,STRAIGHT,10.13,LOW RISK
1.46,2.30,1.00,1.11,719.25,-0.60,22.49,STRAIGHT,7.09,LOW RISK
1.85,5.44,1.00,0.64,1086.05,-0.10,39.02,STRAIGHT,4.96,LOW RISK
1.19,2.42,1.00,0.98,664.61,-0.10,20.01,STRAIGHT,3.48,LOW RISK
0.78,5.04,1.00,0.64,1087.98,-0.05,20.00,STRAIGHT,2.43,LOW RISK
0.93,7.02,1.00,0.49,1286.49,-0.21,20.00,STRAIGHT,1.70,LOW RISK
1.16,3.31,1.00,0.81,750.73,-0.29,20.25,STRAIGHT,1.19,LOW RISK
8.04,7.36,1.00,0.32,887.88,1.69,72.71,STRAIGHT,0.83,LOW RISK
12.90,27.28,1.00,0.28,1130.23,4.20,91.29,STRAIGHT,0.58,LOW RISK
11.53,27.16,0.00,0.33,1131.06,-4.71,84.33,BENDING,22.91,LOW RISK
13.80,29.61,0.00,0.32,1240.67,4.83,85.21,BENDING,46.04,HIGH RISK
11.25,15.26,0.44,0.44,1046.18,-5.30,70.89,STRAIGHT,32.23,MEDIUM RISK
12.46,28.01,0.95,0.29,1136.51,2.23,85.97,BENDING,45.06,HIGH RISK
15.40,33.85,0.26,0.24,1252.60,5.75,120.36,BENDING,61.54,HIGH RISK
16.13,31.20,0.00,0.32,1162.93,-8.11,92.89,BENDING,65.58,HIGH RISK
14.38,33.47,0.00,0.30,1238.32,3.93,101.18,BENDING,75.90,HIGH RISK
12.88,37.71,0.00,0.25,1317.10,-1.75,101.48,BENDING,83.13,HIGH RISK
10.79,13.61,0.17,0.40,1022.43,-1.87,79.42,STRAIGHT,58.19,HIGH RISK
1.20,2.55,1.00,1.10,718.78,-0.59,20.00,STRAIGHT,40.74,HIGH RISK
0.41,0.51,1.00,2.31,314.43,-0.11,20.00,STRAIGHT,28.51,MEDIUM RISK
0.87,2.03,1.00,1.05,585.10,-0.18,20.00,STRAIGHT,19.96,LOW RISK
0.82,8.01,1.00,0.49,1397.32,-0.16,19.96,STRAIGHT,13.97,LOW RISK
0.69,4.43,1.00,0.60,1043.62,-0.33,19.98,STRAIGHT,9.78,LOW RISK
1.25,4.19,1.00,0.55,967.07,-0.29,20.42,STRAIGHT,6.85,LOW RISK
0.88,8.42,1.00,0.35,1331.31,-0.14,19.98,STRAIGHT,4.79,LOW RISK
0.83,9.44,1.00,0.34,1507.16,-0.12,18.44,STRAIGHT,3.35,LOW RISK
0.79,9.25,1.00,0.34,1482.27,-0.09,19.25,STRAIGHT,2.35,LOW RISK
0.75,6.47,1.00,0.39,1296.98,-0.14,20.00,STRAIGHT,1.64,LOW RISK
0.30,0.55,1.00,1.36,314.60,-0.15,20.00,STRAIGHT,1.15,LOW RISK
0.56,0.86,1.00,1.02,383.86,-0.10,20.00,STRAIGHT,0.81,LOW RISK
0.68,2.93,1.00,0.51,860.31,-0.26,21.64,STRAIGHT,0.56,LOW RISK
0.98,6.52,1.00,0.30,1266.96,-0.47,19.58,STRAIGHT,0.39,LOW RISK
0.99,4.40,1.00,0.36,1030.42,0.37,20.00,STRAIGHT,0.28,LOW RISK
1.00,4.36,1.00,0.33,927.18,-0.48,19.99,STRAIGHT,0.19,LOW RISK
0.66,2.85,1.00,0.37,846.48,0.13,20.00,STRAIGHT,0.14,LOW RISK
2.39,3.24,1.00,0.41,715.76,-0.47,20.36,STRAIGHT,0.09,LOW RISK
23.45,63.68,0.84,0.16,2056.83,11.22,188.49,BENDING,30.07,MEDIUM RISK
15.17,71.99,0.00,0.22,2115.04,-3.54,175.63,BENDING,51.05,HIGH RISK
16.74,71.99,0.00,0.22,2360.29,4.52,175.20,BENDING,65.73,HIGH RISK
16.10,63.67,0.00,0.24,1944.95,-6.59,177.87,BENDING,76.01,HIGH RISK
17.17,51.60,0.00,0.28,1626.94,5.64,156.71,BENDING,83.21,HIGH RISK
15.54,35.44,0.00,0.44,1392.82,-5.73,86.55,BENDING,88.25,HIGH RISK
12.73,13.85,0.00,0.75,1126.38,-0.87,69.72,BENDING,69.27,HIGH RISK
13.00,17.49,0.00,0.59,1144.11,3.51,54.96,BENDING,63.49,HIGH RISK
18.95,29.26,0.00,0.41,1636.78,-2.27,163.61,BENDING,74.44,HIGH RISK
4.91,6.69,0.00,1.13,1709.28,-2.34,40.00,BENDING,59.61,HIGH RISK
2.61,5.02,0.37,1.21,939.29,-1.31,24.89,STRAIGHT,41.73,HIGH RISK
13.65,27.21,1.00,0.23,1301.84,2.12,113.87,STRAIGHT,29.21,MEDIUM RISK
13.01,41.22,0.03,0.26,1434.51,-1.80,108.81,BENDING,50.45,HIGH RISK
8.29,11.84,0.62,0.32,983.12,-2.97,91.46,STRAIGHT,35.31,MEDIUM RISK
2.35,3.91,1.00,0.45,857.68,-0.61,28.10,STRAIGHT,24.72,MEDIUM RISK
1.01,3.44,1.00,0.38,798.28,-0.03,20.00,STRAIGHT,17.30,LOW RISK
3.49,8.22,1.00,0.24,991.57,-0.08,32.36,STRAIGHT,12.11,LOW RISK
15.93,12.94,1.00,0.35,1000.26,5.25,79.40,STRAIGHT,8.48,LOW RISK
10.59,12.20,0.70,0.45,1046.19,-2.93,55.88,STRAIGHT,5.93,LOW RISK
12.59,14.96,1.00,0.37,1399.13,-0.91,144.95,STRAIGHT,4.15,LOW RISK
13.92,13.35,1.00,0.31,1248.94,4.44,83.91,STRAIGHT,2.91,LOW RISK
14.75,22.73,0.61,0.47,1542.97,-4.61,79.25,BENDING,32.04,MEDIUM RISK
14.18,17.45,0.00,0.47,1513.87,2.15,64.26,BENDING,52.42,HIGH RISK
13.73,17.94,0.26,0.46,1400.65,2.66,102.27,BENDING,66.70,HIGH RISK
12.97,17.81,0.84,0.35,993.72,-6.52,73.52,STRAIGHT,46.69,HIGH RISK
16.81,24.13,1.00,0.29,1292.91,4.50,74.57,STRAIGHT,32.68,MEDIUM RISK
15.35,41.06,0.09,0.29,1613.17,-3.25,98.59,BENDING,52.88,HIGH RISK
17.13,30.78,0.00,0.39,1376.03,1.03,72.01,BENDING,67.01,HIGH RISK
16.93,38.09,0.00,0.35,1436.50,4.05,104.51,BENDING,76.91,HIGH RISK
17.37,30.00,0.00,0.39,1393.55,-1.76,99.56,BENDING,83.84,HIGH RISK
18.50,28.73,0.00,0.62,1755.34,2.58,81.86,BENDING,81.19,HIGH RISK
19.27,32.30,0.00,0.58,1423.91,3.29,91.10,BENDING,79.33,HIGH RISK
12.95,22.99,0.00,0.64,1227.47,-6.23,79.34,BENDING,78.03,HIGH RISK
6.09,8.95,0.01,0.77,1393.93,-2.73,49.52,STRAIGHT,54.62,HIGH RISK
6.49,11.31,1.00,0.53,1120.62,-0.30,50.45,STRAIGHT,38.24,MEDIUM RISK
13.85,23.01,0.49,0.56,1393.05,3.74,64.02,BENDING,49.26,HIGH RISK
10.14,15.63,0.00,0.58,1280.41,0.25,69.49,BENDING,56.99,HIGH RISK
19.24,38.38,0.00,0.33,1409.56,-0.12,101.72,BENDING,69.89,HIGH RISK
6.24,9.56,0.00,1.00,1057.72,-0.79,52.67,BENDING,48.92,HIGH RISK
18.59,36.99,0.00,0.36,1436.96,-0.88,129.46,BENDING,64.25,HIGH RISK
19.02,33.81,0.00,0.31,1384.13,6.65,108.79,BENDING,74.97,HIGH RISK
18.48,40.41,0.00,0.37,1594.62,-6.64,84.42,BENDING,82.48,HIGH RISK
19.19,43.83,0.00,0.31,1366.67,0.98,96.03,BENDING,87.74,HIGH RISK
17.26,50.03,0.00,0.28,1558.25,-1.60,97.86,BENDING,91.42,HIGH RISK
17.09,44.86,0.00,0.30,1580.27,3.95,135.09,BENDING,93.99,HIGH RISK
16.78,44.92,0.00,0.30,1454.71,-1.06,98.80,BENDING,95.79,HIGH RISK
13.66,32.91,0.00,0.33,1640.28,-4.96,148.21,BENDING,97.06,HIGH RISK
4.23,5.91,0.38,0.94,1051.35,-1.30,29.91,STRAIGHT,67.94,HIGH RISK
2.09,4.42,1.00,1.12,1031.24,-0.86,22.84,STRAIGHT,47.56,HIGH RISK
1.20,1.92,1.00,1.35,684.89,-0.50,20.00,STRAIGHT,33.29,MEDIUM RISK
1.25,3.32,1.00,0.84,914.32,-0.63,20.00,STRAIGHT,23.30,LOW RISK
1.34,4.24,1.00,0.60,994.21,-0.60,20.00,STRAIGHT,16.31,LOW RISK
0.80,3.49,1.00,0.51,930.29,-0.34,19.97,STRAIGHT,11.42,LOW RISK
1.10,5.50,1.00,0.36,1131.52,-0.39,20.03,STRAIGHT,7.99,LOW RISK
0.77,3.93,1.00,0.33,982.16,-0.27,19.69,STRAIGHT,5.60,LOW RISK
9.86,17.05,1.00,-0.01,5371.92,-2.85,384.29,STRAIGHT,0.00,LOW RISK
33.32,108.62,0.44,-0.20,18278.49,-13.67,327.90,RETURNING,30.00,MEDIUM RISK
69.82,88.55,0.00,-0.08,12464.31,27.71,438.99,RETURNING,51.00,HIGH RISK
4.76,10.58,0.44,0.87,3177.42,-1.57,226.75,BENDING,43.20,HIGH RISK
1.89,5.55,0.00,2.37,1175.12,-0.85,20.03,BENDING,30.24,MEDIUM RISK
17.46,68.31,0.00,0.14,16761.24,-0.99,314.13,BENDING,51.17,HIGH RISK
25.45,46.77,0.00,0.18,13151.18,-10.96,376.38,BENDING,65.82,HIGH RISK
24.31,34.08,0.81,0.14,6612.66,10.06,302.91,STRAIGHT,46.07,HIGH RISK
2.82,8.61,0.09,1.18,1792.02,-1.24,45.97,BENDING,39.75,MEDIUM RISK
1.80,9.99,0.00,0.98,1921.05,-0.89,40.26,BENDING,35.33,MEDIUM RISK
13.80,29.80,0.15,0.16,5113.47,-0.01,265.43,STRAIGHT,24.73,MEDIUM RISK
1.06,5.18,0.79,1.40,1227.78,-0.39,37.99,BENDING,24.81,MEDIUM RISK
49.92,175.99,0.62,-0.02,22427.30,-16.54,823.03,STRAIGHT,17.37,LOW RISK
27.80,43.97,1.00,-0.02,3280.13,10.50,614.54,STRAIGHT,12.16,LOW RISK
76.38,87.52,0.85,-0.09,10584.66,-22.98,1154.73,RETURNING,38.51,MEDIUM RISK
74.07,200.00,0.00,-0.24,14287.28,-15.47,971.28,RETURNING,56.96,HIGH RISK
72.10,173.73,0.00,-0.29,15425.52,12.91,1055.96,RETURNING,69.87,HIGH RISK
28.43,69.16,0.00,-0.75,10699.72,-2.78,273.93,RETURNING,78.91,HIGH RISK
90.50,108.45,0.00,-0.38,12092.35,-19.88,860.13,RETURNING,85.24,HIGH RISK
54.30,86.42,0.00,-0.66,9167.67,-0.70,590.91,RETURNING,89.67,HIGH RISK
115.23,132.73,0.00,-0.40,11830.37,21.47,980.52,RETURNING,92.77,HIGH RISK
106.24,170.87,0.00,-0.40,7516.38,-17.94,560.17,RETURNING,94.94,HIGH RISK
145.44,200.00,0.00,-0.20,12393.18,11.01,1558.01,RETURNING,96.46,HIGH RISK
52.60,103.94,0.00,-0.46,6873.93,-2.02,645.92,RETURNING,97.52,HIGH RISK
137.77,200.00,0.00,-0.19,26422.99,-49.17,2619.82,RETURNING,98.26,HIGH RISK
58.41,200.00,0.00,-0.57,11339.34,5.12,895.66,RETURNING,98.78,HIGH RISK
96.66,182.95,0.00,-0.53,11601.41,21.65,910.35,RETURNING,99.15,HIGH RISK
168.54,200.00,0.00,-0.09,23723.95,-19.40,1682.70,RETURNING,99.40,HIGH RISK
155.91,200.00,0.00,-0.26,20264.84,-5.56,2362.10,RETURNING,99.58,HIGH RISK
21.75,52.91,0.00,-2.36,7796.98,-3.75,251.08,RETURNING,99.71,HIGH RISK
221.59,134.67,0.00,-0.36,9451.77,105.16,1272.28,RETURNING,99.80,HIGH RISK
3.20,17.98,0.10,1.81,3203.02,-1.32,59.98,BENDING,84.86,HIGH RISK
3.70,17.21,0.00,1.90,3287.48,0.86,57.18,BENDING,74.40,HIGH RISK
4.04,9.64,0.00,3.54,1651.19,-0.21,40.12,BENDING,59.58,HIGH RISK
8.76,14.18,0.00,2.08,2201.18,-3.59,70.55,BENDING,56.71,HIGH RISK
1.97,10.17,0.00,3.07,1799.97,0.50,33.99,BENDING,47.19,HIGH RISK
1.92,9.49,0.00,3.24,1610.65,-0.82,37.20,BENDING,40.54,HIGH RISK
1.91,7.85,0.00,3.29,1514.88,-0.73,30.52,BENDING,35.88,MEDIUM RISK
1.14,8.32,0.00,3.02,1732.04,0.02,31.17,BENDING,32.61,MEDIUM RISK
1.45,9.32,0.00,2.79,1698.44,-0.40,39.50,BENDING,30.33,MEDIUM RISK
2.01,9.22,0.00,2.83,1661.79,-0.91,39.13,BENDING,28.73,MEDIUM RISK
8.72,13.61,0.00,1.85,1640.69,3.38,77.04,BENDING,35.11,MEDIUM RISK
192.47,139.75,0.12,-0.37,9249.23,-91.99,929.43,RETURNING,54.58,HIGH RISK
18.67,38.90,0.00,-3.28,6470.72,-8.22,118.95,RETURNING,68.20,HIGH RISK
23.02,48.53,0.00,-2.55,6867.81,11.26,180.96,RETURNING,77.74,HIGH RISK
196.19,129.47,0.00,-0.14,14898.49,90.97,2916.99,RETURNING,84.42,HIGH RISK
83.56,145.81,0.11,0.08,20173.74,-1.55,761.05,BENDING,89.09,HIGH RISK
13.06,14.56,0.00,2.07,1910.87,2.63,65.73,BENDING,77.37,HIGH RISK
137.88,176.06,0.09,-0.00,13159.90,-69.27,986.63,STRAIGHT,54.16,HIGH RISK
140.32,91.30,0.25,0.04,10139.00,64.55,1719.55,BENDING,67.91,HIGH RISK
2.39,4.90,0.00,4.81,1041.24,-1.13,20.90,BENDING,47.54,HIGH RISK
2.10,5.41,0.00,4.22,1078.14,-0.99,23.65,BENDING,33.28,MEDIUM RISK
1.13,3.55,0.00,5.12,956.54,-0.57,20.00,BENDING,23.29,LOW RISK
0.99,3.23,0.00,5.21,843.58,-0.32,20.00,BENDING,16.31,LOW RISK
0.90,6.49,0.00,3.61,1297.94,-0.40,19.95,BENDING,18.91,LOW RISK
1.17,5.53,0.00,3.83,1051.69,-0.59,20.00,BENDING,13.24,LOW RISK
0.39,0.82,0.00,10.19,384.28,-0.11,19.95,BENDING,9.27,LOW RISK
1.09,5.67,0.00,2.57,1600.82,-0.22,40.00,BENDING,13.99,LOW RISK
2.14,9.89,0.00,1.85,2020.17,-1.01,41.06,BENDING,17.29,LOW RISK
0.60,0.40,0.00,15.38,223.03,-0.20,20.01,BENDING,12.10,LOW RISK
0.40,0.20,0.00,29.29,18.95,-0.20,8.00,BENDING,8.47,LOW RISK
1.28,5.12,0.00,3.58,1076.52,-0.59,20.28,BENDING,5.93,LOW RISK
0.68,3.35,0.00,4.23,916.58,-0.19,23.91,BENDING,4.15,LOW RISK
16.93,10.89,0.00,0.44,4675.52,-8.08,497.55,BENDING,25.41,MEDIUM RISK
48.31,136.39,0.06,0.04,14470.51,-6.53,820.79,STRAIGHT,17.78,LOW RISK
92.44,188.27,0.36,-0.26,18049.02,-28.76,763.28,RETURNING,42.45,HIGH RISK
170.87,200.00,0.00,-0.17,25526.51,44.97,1374.77,RETURNING,59.71,HIGH RISK
182.91,200.00,0.17,-0.04,20793.14,-78.16,1559.18,RETURNING,71.80,HIGH RISK
98.50,200.00,0.00,-0.37,20069.74,-2.89,1872.71,RETURNING,80.26,HIGH RISK
83.95,200.00,0.00,-0.50,12762.09,25.23,789.57,RETURNING,86.18,HIGH RISK
203.90,200.00,0.00,-0.17,14790.97,-31.21,1644.86,RETURNING,90.33,HIGH RISK
44.90,41.20,0.00,-2.41,4508.58,13.27,237.01,RETURNING,93.23,HIGH RISK
24.68,38.21,0.00,-3.03,3752.75,-11.90,155.90,RETURNING,95.26,HIGH RISK
8.36,25.33,0.00,-4.64,4327.34,-0.28,115.71,RETURNING,96.68,HIGH RISK
289.57,200.00,0.00,-0.31,30000.00,-41.55,3627.68,RETURNING,97.68,HIGH RISK
92.63,96.61,0.00,-1.20,8516.22,32.38,875.00,RETURNING,98.37,HIGH RISK
112.72,200.00,0.00,-0.75,7784.31,24.76,794.18,RETURNING,98.86,HIGH RISK
97.40,182.49,0.00,-0.73,9474.59,-27.31,830.21,RETURNING,99.20,HIGH RISK
274.71,200.00,0.00,-0.12,15175.74,109.79,1890.37,RETURNING,99.44,HIGH RISK
13.60,138.87,0.09,0.24,30000.00,-0.77,515.05,BENDING,99.61,HIGH RISK
62.41,196.27,0.00,0.09,30000.00,-28.53,825.88,BENDING,99.73,HIGH RISK
175.02,138.39,0.14,-0.29,9717.82,-44.76,1249.46,RETURNING,99.81,HIGH RISK
210.17,200.00,0.00,-0.20,20054.11,-35.47,2698.47,RETURNING,99.87,HIGH RISK
20.31,33.46,0.00,-3.84,4830.46,-5.97,236.12,RETURNING,99.91,HIGH RISK
16.55,32.05,0.00,-4.88,5155.38,-5.54,146.07,RETURNING,99.93,HIGH RISK
6.59,22.95,0.00,-6.77,4117.83,0.71,79.32,RETURNING,92.45,HIGH RISK
242.51,127.47,0.00,-0.17,9198.01,118.09,2158.19,RETURNING,94.72,HIGH RISK
3.97,5.13,0.09,4.73,1027.13,-1.85,22.05,BENDING,66.30,HIGH RISK
2.08,4.16,0.00,4.83,1006.92,-0.93,20.01,BENDING,46.41,HIGH RISK
1.49,3.71,0.00,4.82,943.57,-0.62,20.00,BENDING,32.49,MEDIUM RISK
1.37,4.15,0.00,4.45,954.79,-0.44,20.00,BENDING,22.74,LOW RISK
2.86,7.08,0.00,2.33,1650.37,-1.27,40.00,BENDING,23.42,LOW RISK
1.48,2.31,0.00,4.11,916.48,-0.41,37.60,BENDING,16.39,LOW RISK
1.14,4.05,0.00,4.03,1006.56,-0.57,20.09,BENDING,11.48,LOW RISK
45.12,47.08,0.00,0.17,12033.10,-11.50,766.32,BENDING,38.03,MEDIUM RISK
62.68,62.53,0.00,0.11,5806.84,10.61,636.23,BENDING,56.62,HIGH RISK
80.83,104.66,0.00,0.11,8134.65,-30.49,835.78,BENDING,69.64,HIGH RISK
267.18,200.00,0.14,-0.29,16392.16,-83.57,1127.44,RETURNING,78.75,HIGH RISK
40.76,31.51,0.00,-4.03,4239.27,20.39,332.66,RETURNING,85.12,HIGH RISK
201.19,107.09,0.00,-0.06,8282.91,100.73,2029.79,RETURNING,89.59,HIGH RISK
3.23,4.18,0.10,5.08,980.93,-1.63,20.12,BENDING,62.71,HIGH RISK
1.84,4.55,0.00,4.39,1089.13,-0.92,20.00,BENDING,43.90,HIGH RISK
1.73,2.54,0.00,5.30,816.41,-0.67,40.00,BENDING,30.73,MEDIUM RISK
2.00,7.56,0.00,2.15,1963.42,-1.00,40.00,BENDING,29.01,MEDIUM RISK
5.18,6.80,0.00,2.68,1095.91,0.83,42.77,BENDING,20.31,LOW RISK
4.10,7.35,0.00,2.26,1507.56,-1.71,43.55,BENDING,21.71,LOW RISK
3.34,8.15,0.00,2.28,1580.71,-0.15,30.52,BENDING,22.70,LOW RISK
3.30,10.39,0.00,1.97,2051.49,-0.14,35.23,BENDING,23.39,LOW RISK
5.72,13.64,0.00,1.56,2739.99,2.56,52.58,BENDING,23.87,LOW RISK
1.82,4.13,0.00,4.58,1020.11,-0.63,20.37,BENDING,16.71,LOW RISK
12.95,27.07,0.00,0.69,4334.21,0.24,181.20,BENDING,34.20,MEDIUM RISK
171.15,189.59,0.12,-0.13,11317.32,0.79,1991.10,RETURNING,53.94,HIGH RISK
16.88,84.59,0.12,0.24,19906.91,-3.17,636.26,BENDING,67.76,HIGH RISK
46.42,150.63,0.00,0.11,26462.84,-16.51,509.15,BENDING,77.43,HIGH RISK
62.00,116.07,0.52,0.09,20483.49,19.51,612.50,BENDING,84.20,HIGH RISK
175.12,198.83,0.23,-0.04,19696.69,-87.48,1713.69,RETURNING,88.94,HIGH RISK
193.20,200.00,0.00,-0.35,15367.43,6.09,2046.38,RETURNING,92.26,HIGH RISK
206.05,200.00,0.00,-0.07,12523.75,-22.57,1321.41,RETURNING,94.58,HIGH RISK
36.25,48.40,0.00,-2.83,4847.17,8.10,265.10,RETURNING,96.21,HIGH RISK
227.43,157.28,0.00,-0.35,11888.59,97.98,1026.49,RETURNING,97.34,HIGH RISK
11.38,44.66,0.10,0.35,13331.62,-2.95,452.01,BENDING,98.14,HIGH RISK
3.92,5.53,0.00,3.22,1093.13,-1.61,40.12,BENDING,68.70,HIGH RISK
1.42,2.49,0.00,5.21,719.70,-0.71,20.00,BENDING,48.09,HIGH RISK
1.11,4.35,0.00,3.69,1054.35,-0.51,21.64,BENDING,33.66,MEDIUM RISK
1.13,2.95,0.00,4.37,888.73,-0.48,20.00,BENDING,23.56,LOW RISK
1.57,8.73,0.00,2.34,1498.36,-0.51,26.05,BENDING,23.99,LOW RISK
1.18,3.36,0.00,3.77,873.94,-0.49,21.44,BENDING,16.80,LOW RISK
0.71,6.22,0.00,2.72,1246.91,-0.33,19.99,BENDING,19.26,LOW RISK
0.75,5.15,0.00,2.96,1100.12,-0.18,20.00,BENDING,13.48,LOW RISK
0.30,0.15,0.00,31.57,14.33,-0.15,6.05,BENDING,9.44,LOW RISK
0.20,0.20,0.00,14.75,222.22,0.00,20.00,BENDING,6.61,LOW RISK
